date,search
2014-05-11,37
2014-05-18,36
2014-05-25,36
2014-06-01,38
2014-06-08,36
2014-06-15,37
2014-06-22,38
2014-06-29,39
2014-07-06,40
2014-07-13,41
2014-07-20,41
2014-07-27,41
2014-08-03,42
2014-08-10,42
2014-08-17,42
2014-08-24,43
2014-08-31,47
2014-09-07,100
2014-09-14,70
2014-09-21,73
2014-09-28,56
2014-10-05,50
2014-10-12,47
2014-10-19,48
2014-10-26,45
2014-11-02,45
2014-11-09,44
2014-11-16,45
2014-11-23,46
2014-11-30,45
2014-12-07,45
2014-12-14,45
2014-12-21,52
2014-12-28,46
2015-01-04,42
2015-01-11,40
2015-01-18,39
2015-01-25,39
2015-02-01,39
2015-02-08,38
2015-02-15,38
2015-02-22,37
2015-03-01,39
2015-03-08,39
2015-03-15,38
2015-03-22,37
2015-03-29,39
2015-04-05,38
2015-04-12,38
2015-04-19,38
2015-04-26,37
2015-05-03,37
2015-05-10,37
2015-05-17,37
2015-05-24,39
2015-05-31,37
2015-06-07,37
2015-06-14,38
2015-06-21,39
2015-06-28,41
2015-07-05,41
2015-07-12,41
2015-07-19,41
2015-07-26,42
2015-08-02,41
2015-08-09,41
2015-08-16,41
2015-08-23,42
2015-08-30,42
2015-09-06,58
2015-09-13,49
2015-09-20,52
2015-09-27,50
2015-10-04,46
2015-10-11,46
2015-10-18,44
2015-10-25,42
2015-11-01,41
2015-11-08,41
2015-11-15,40
2015-11-22,42
2015-11-29,41
2015-12-06,43
2015-12-13,43
2015-12-20,49
2015-12-27,47
2016-01-03,42
2016-01-10,39
2016-01-17,39
2016-01-24,39
2016-01-31,38
2016-02-07,38
2016-02-14,39
2016-02-21,40
2016-02-28,38
2016-03-06,39
2016-03-13,38
2016-03-20,52
2016-03-27,46
2016-04-03,41
2016-04-10,39
2016-04-17,38
2016-04-24,37
2016-05-01,38
2016-05-08,38
2016-05-15,38
2016-05-22,38
2016-05-29,38
2016-06-05,38
2016-06-12,39
2016-06-19,40
2016-06-26,39
2016-07-03,41
2016-07-10,44
2016-07-17,43
2016-07-24,44
2016-07-31,44
2016-08-07,41
2016-08-14,42
2016-08-21,41
2016-08-28,45
2016-09-04,84
2016-09-11,66
2016-09-18,59
2016-09-25,52
2016-10-02,49
2016-10-09,47
2016-10-16,46
2016-10-23,45
2016-10-30,44
2016-11-06,42
2016-11-13,42
2016-11-20,47
2016-11-27,44
2016-12-04,42
2016-12-11,44
2016-12-18,46
2016-12-25,49
2017-01-01,45
2017-01-08,41
2017-01-15,41
2017-01-22,39
2017-01-29,39
2017-02-05,38
2017-02-12,38
2017-02-19,38
2017-02-26,37
2017-03-05,36
2017-03-12,37
2017-03-19,40
2017-03-26,39
2017-04-02,37
2017-04-09,39
2017-04-16,38
2017-04-23,36
2017-04-30,37
2017-05-07,36
2017-05-14,37
2017-05-21,37
2017-05-28,37
2017-06-04,39
2017-06-11,38
2017-06-18,39
2017-06-25,39
2017-07-02,41
2017-07-09,40
2017-07-16,40
2017-07-23,40
2017-07-30,41
2017-08-06,41
2017-08-13,40
2017-08-20,42
2017-08-27,41
2017-09-03,41
2017-09-10,87
2017-09-17,56
2017-09-24,51
2017-10-01,47
2017-10-08,45
2017-10-15,45
2017-10-22,49
2017-10-29,53
2017-11-05,54
2017-11-12,49
2017-11-19,52
2017-11-26,50
2017-12-03,49
2017-12-10,47
2017-12-17,49
2017-12-24,56
2017-12-31,48
2018-01-07,43
2018-01-14,41
2018-01-21,40
2018-01-28,40
2018-02-04,38
2018-02-11,38
2018-02-18,39
2018-02-25,39
2018-03-04,38
2018-03-11,37
2018-03-18,38
2018-03-25,39
2018-04-01,37
2018-04-08,37
2018-04-15,36
2018-04-22,35
2018-04-29,36
2018-05-06,36
2018-05-13,36
2018-05-20,37
2018-05-27,37
2018-06-03,37
2018-06-10,38
2018-06-17,37
2018-06-24,36
2018-07-01,38
2018-07-08,38
2018-07-15,39
2018-07-22,38
2018-07-29,39
2018-08-05,39
2018-08-12,38
2018-08-19,37
2018-08-26,38
2018-09-02,36
2018-09-09,58
2018-09-16,49
2018-09-23,45
2018-09-30,42
2018-10-07,40
2018-10-14,40
2018-10-21,40
2018-10-28,41
2018-11-04,41
2018-11-11,39
2018-11-18,44
2018-11-25,41
2018-12-02,39
2018-12-09,40
2018-12-16,41
2018-12-23,48
2018-12-30,43
2019-01-06,39
2019-01-13,37
2019-01-20,35
2019-01-27,35
2019-02-03,34
2019-02-10,34
2019-02-17,35
2019-02-24,35
2019-03-03,34
2019-03-10,34
2019-03-17,33
2019-03-24,34
2019-03-31,33
2019-04-07,32
2019-04-14,33
2019-04-21,33
2019-04-28,33
2019-05-05,33
